xflr5 v6.47

C:/Users/miksw/Documents/XFLR5/NACA 0012.dat
Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 24.000       0.151     1.410    -0.025     0.005     1.000    0.0000  -14.4691
 Cpi          Cpv
 0.4170    0.1642
 0.4079    0.1470
 0.3993    0.1296
 0.3916    0.1125
 0.3849    0.0954
 0.3789    0.0782
 0.3740    0.0610
 0.3702    0.0439
 0.3673    0.0265
 0.3660    0.0094
 0.3660   -0.0079
 0.3678   -0.0251
 0.3713   -0.0423
 0.3775   -0.0590
 0.3868   -0.0749
 0.3991   -0.0907
 0.4176   -0.1045
 0.4437   -0.1190
 0.4815   -0.1497
 0.5131   -0.1910


Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 22.000       0.061     1.811     0.025     0.005     1.000    0.0000  -18.3328
 Cpi          Cpv
-----------------
 0.5096   -0.1592
 0.4520   -0.1594
 0.3912   -0.1600
 0.3412   -0.1610
 0.2966   -0.1624
 0.2565   -0.1642
 0.2174   -0.1663
 0.1799   -0.1689
 0.1436   -0.1719
 0.1076   -0.1754
 0.0720   -0.1792
 0.0362   -0.1835
 0.0008   -0.1883
-0.0352   -0.1935
-0.0715   -0.1993
-0.1082   -0.2055
-0.1457   -0.2123
-0.1840   -0.2196
-0.2228   -0.2275
-0.2631   -0.2360
-0.3042   -0.2451
-0.3470   -0.2549
-0.3908   -0.2653
-0.4368   -0.2765
-0.4843   -0.2884
-0.5342   -0.3010
-0.5861   -0.3143
-0.6410   -0.3284
-0.6983   -0.3432
-0.7588   -0.3585
-0.8229   -0.3744
-0.8905   -0.3905
-0.9623   -0.4061
-1.0387   -0.4183
-1.1197   -0.4192
-1.2064   -0.4656
-1.2989   -0.5391
-1.3979   -0.6337
-1.5044   -0.7432
-1.6189   -0.8624
-1.7423   -0.9881
-1.8757   -1.1195
-2.0206   -1.2569
-2.1792   -1.4016
-2.3515   -1.5547
-2.5421   -1.7190
-2.7521   -1.8962
-2.9864   -2.0896
-3.2488   -2.3023
-3.5444   -2.5384
-3.8815   -2.8035
-4.2707   -3.1053
-4.7214   -3.4508
-5.2526   -3.8530
-5.8865   -4.3274
-6.6512   -4.8937
-7.5913   -5.5819
-8.7629   -6.4295
-10.2457   -7.4880
-12.1438   -8.8195
-14.5769   -10.4846
-17.6617   -12.5557
-21.2972   -15.5609
-24.8818   -17.3853
-26.6719   -18.3328
-24.9216   -16.7641
-20.2729   -13.2209
-14.3035   -8.9306
-9.1200   -5.3353
-5.4654   -2.8730
-3.0797   -1.3130
-1.5657   -0.3560
-0.6043    0.2270
 0.0089    0.5792
 0.4016    0.7885
 0.6528    0.9081
 0.8113    0.9707
 0.9085    0.9965
 0.9642    0.9986
 0.9917    0.9851
 1.0000    0.9618
 0.9950    0.9322
 0.9811    0.8989
 0.9612    0.8635
 0.9373    0.8273
 0.9110    0.7911
 0.8833    0.7553
 0.8550    0.7204
 0.8268    0.6866
 0.7988    0.6540
 0.7715    0.6227
 0.7450    0.5927
 0.7194    0.5641
 0.6948    0.5367
 0.6713    0.5105
 0.6487    0.4855
 0.6273    0.4615
 0.6067    0.4385
 0.5872    0.4164
 0.5687    0.3951
 0.5509    0.3746
 0.5341    0.3547
 0.5180    0.3353
 0.5027    0.3165
 0.4882    0.2982
 0.4743    0.2801
 0.4613    0.2625
 0.4488    0.2451
 0.4371    0.2281
 0.4260    0.2110
 0.4157    0.1944
 0.4060    0.1778
 0.3972    0.1614
 0.3889    0.1449
 0.3817    0.1287
 0.3752    0.1125
 0.3696    0.0962
 0.3651    0.0800
 0.3616    0.0639
 0.3591    0.0474
 0.3582    0.0312
 0.3586    0.0149
 0.3607   -0.0013
 0.3647   -0.0176
 0.3712   -0.0334
 0.3809   -0.0485
 0.3937   -0.0636
 0.4126   -0.0767
 0.4391   -0.0905
 0.4775   -0.1196
 0.5096   -0.1592


Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 21.500       0.051     1.842     0.029     0.005     1.000    0.0000  -18.3219
 Cpi          Cpv
-----------------
 0.5062   -0.1301
 0.4485   -0.1304
 0.3876   -0.1310
 0.3375   -0.1320
 0.2930   -0.1334
 0.2529   -0.1352
 0.2140   -0.1374
 0.1766   -0.1401
 0.1406   -0.1432
 0.1048   -0.1467
 0.0694   -0.1506
 0.0339   -0.1550
-0.0011   -0.1598
-0.0368   -0.1651
-0.0727   -0.1709
-0.1090   -0.1772
-0.1461   -0.1841
-0.1839   -0.1914
-0.2222   -0.1993
-0.2619   -0.2078
-0.3025   -0.2168
-0.3446   -0.2265
-0.3878   -0.2367
-0.4331   -0.2474
-0.4799   -0.2587
-0.5289   -0.2706
-0.5799   -0.2829
-0.6339   -0.2955
-0.6902   -0.3082
-0.7496   -0.3203
-0.8125   -0.3291
-0.8789   -0.3274
-0.9493   -0.3624
-1.0242   -0.4176
-1.1036   -0.4899
-1.1885   -0.5754
-1.2790   -0.6705
-1.3759   -0.7722
-1.4801   -0.8793
-1.5919   -0.9910
-1.7125   -1.1077
-1.8427   -1.2302
-1.9841   -1.3597
-2.1387   -1.4976
-2.3065   -1.6449
-2.4921   -1.8043
-2.6963   -1.9773
-2.9241   -2.1672
-3.1791   -2.3769
-3.4660   -2.6104
-3.7930   -2.8733
-4.1703   -3.1731
-4.6067   -3.5169
-5.1208   -3.9176
-5.7337   -4.3907
-6.4724   -4.9557
-7.3797   -5.6427
-8.5092   -6.4889
-9.9370   -7.5456
-11.7621   -8.8744
-14.0976   -10.5349
-17.0521   -12.5981
-20.5219   -15.5934
-23.9211   -17.3973
-25.5713   -18.3219
-23.8120   -16.7289
-19.2889   -13.1713
-13.5356   -8.8798
-8.5667   -5.2915
-5.0781   -2.8383
-2.8100   -1.2867
-1.3769   -0.3366
-0.4714    0.2410
 0.1027    0.5890
 0.4675    0.7951
 0.6984    0.9122
 0.8420    0.9729
 0.9280    0.9972
 0.9752    0.9981
 0.9962    0.9838
 0.9995    0.9598
 0.9907    0.9298
 0.9738    0.8962
 0.9515    0.8606
 0.9258    0.8244
 0.8981    0.7881
 0.8694    0.7525
 0.8403    0.7177
 0.8114    0.6841
 0.7831    0.6518
 0.7555    0.6208
 0.7288    0.5912
 0.7032    0.5629
 0.6787    0.5359
 0.6552    0.5102
 0.6328    0.4856
 0.6115    0.4621
 0.5912    0.4396
 0.5720    0.4180
 0.5537    0.3973
 0.5362    0.3773
 0.5197    0.3580
 0.5039    0.3392
 0.4889    0.3210
 0.4748    0.3033
 0.4612    0.2859
 0.4485    0.2690
 0.4364    0.2523
 0.4251    0.2361
 0.4142    0.2198
 0.4043    0.2039
 0.3949    0.1881
 0.3865    0.1726
 0.3786    0.1570
 0.3717    0.1416
 0.3656    0.1263
 0.3604    0.1110
 0.3562    0.0957
 0.3531    0.0806
 0.3509    0.0651
 0.3504    0.0499
 0.3512    0.0346
 0.3537    0.0193
 0.3580    0.0040
 0.3650   -0.0109
 0.3751   -0.0251
 0.3882   -0.0393
 0.4076   -0.0517
 0.4346   -0.0648
 0.4735   -0.0924
 0.5062   -0.1301


Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 21.000       0.043     1.859     0.031     0.005     1.000    0.0000  -18.1331
 Cpi          Cpv
-----------------
 0.5028   -0.1030
 0.4450   -0.1032
 0.3840   -0.1038
 0.3339   -0.1048
 0.2894   -0.1062
 0.2494   -0.1081
 0.2106   -0.1103
 0.1735   -0.1129
 0.1376   -0.1160
 0.1021   -0.1195
 0.0670   -0.1234
 0.0318   -0.1278
-0.0029   -0.1326
-0.0382   -0.1378
-0.0738   -0.1435
-0.1096   -0.1497
-0.1462   -0.1563
-0.1836   -0.1635
-0.2214   -0.1711
-0.2606   -0.1792
-0.3005   -0.1877
-0.3421   -0.1967
-0.3845   -0.2061
-0.4292   -0.2159
-0.4752   -0.2260
-0.5234   -0.2361
-0.5735   -0.2456
-0.6266   -0.2527
-0.6819   -0.2497
-0.7402   -0.2716
-0.8020   -0.3116
-0.8670   -0.3657
-0.9360   -0.4317
-1.0095   -0.5071
-1.0873   -0.5894
-1.1703   -0.6770
-1.2589   -0.7690
-1.3536   -0.8650
-1.4555   -0.9654
-1.5648   -1.0705
-1.6825   -1.1811
-1.8095   -1.2981
-1.9473   -1.4226
-2.0979   -1.5561
-2.2613   -1.6995
-2.4419   -1.8553
-2.6405   -2.0249
-2.8618   -2.2116
-3.1093   -2.4183
-3.3877   -2.6487
-3.7046   -2.9085
-4.0701   -3.2051
-4.4924   -3.5453
-4.9895   -3.9421
-5.5817   -4.4108
-6.2947   -4.9705
-7.1696   -5.6511
-8.2574   -6.4893
-9.6310   -7.5356
-11.3842   -8.8504
-13.6236   -10.4915
-16.4499   -12.5273
-19.7572   -15.4867
-22.9749   -17.2460
-24.4890   -18.1331
-22.7230   -16.5224
-18.3252   -12.9766
-12.7853   -8.7208
-8.0275   -5.1734
-4.7018   -2.7541
-2.5489   -1.2277
-1.1949   -0.2956
-0.3439    0.2692
 0.1920    0.6080
 0.5297    0.8074
 0.7409    0.9196
 0.8700    0.9766
 0.9451    0.9983
 0.9842    0.9971
 0.9990    0.9813
 0.9975    0.9562
 0.9850    0.9253
 0.9652    0.8912
 0.9407    0.8553
 0.9133    0.8188
 0.8843    0.7825
 0.8546    0.7468
 0.8248    0.7121
 0.7954    0.6788
 0.7667    0.6467
 0.7389    0.6159
 0.7122    0.5866
 0.6866    0.5587
 0.6621    0.5322
 0.6388    0.5069
 0.6166    0.4827
 0.5955    0.4597
 0.5755    0.4377
 0.5565    0.4167
 0.5385    0.3965
 0.5214    0.3770
 0.5052    0.3583
 0.4897    0.3402
 0.4750    0.3226
 0.4613    0.3056
 0.4481    0.2888
