xflr5 v6.43

NACA 63A-609
Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 16.000       0.126     1.180    -0.070     0.004     1.000    0.0000  -10.2997
 Cpi          Cpv
-1.4468   -1.1865
-1.5360   -1.2661
-1.6444   -1.3569
-1.7710   -1.4594
-1.9191   -1.5762
-2.0985   -1.7141
-2.3246   -1.8826
-2.5928   -2.0797
-2.9512   -2.3341
-3.4028   -2.6522
-4.0121   -3.1013
-4.8394   -3.8887
-5.9326   -5.2633
-7.4254   -6.1216
-9.4047   -6.2190
-11.2727   -6.5547
-11.9499   -7.1634
-12.3257   -7.7422
-14.5777   -8.3229
-13.2354   -7.5082
-10.0563   -5.6117
-6.8175   -3.4888
-3.3032   -1.3139
-1.2486   -0.0352
 0.2924    0.7630
 0.8191    0.9759
 0.9793    0.9949
 0.9967    0.9453
 0.9578    0.8751
 0.8980    0.8001
 0.8327    0.7294
 0.7688    0.6635
 0.7088    0.6044
 0.6536    0.5505
 0.6037    0.5024
 0.5588    0.4591
 0.5172    0.4187
 0.4834    0.3859
 0.4555    0.3589
 0.4356    0.3397
 0.4223    0.3269
 0.4141    0.3187
 0.4099    0.3139
 0.4092    0.3119
 0.4116    0.3120
 0.4155    0.3125
 0.4203    0.3116
 0.4082    0.2947
 0.3676    0.2486
 0.3470    0.2135
 0.3309    0.1820
 0.3184    0.1525
 0.3128    0.1263
 0.2972    0.0882
 0.2729    0.0371
 0.2408   -0.0262
 0.2308   -0.0657
 0.0465   -0.1499
 0.5862   -0.0221


Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  9.000       0.022     1.269    -0.079     0.009     1.000    0.0000  -6.8125
 Cpi          Cpv
-----------------
 0.5825    0.0059
-0.0513    0.0074
 0.1135    0.0069
 0.0687    0.0063
 0.0575    0.0056
 0.0318    0.0056
-0.0120    0.0054
-0.0787   -0.0043
-0.1688   -0.0242
-0.2335   -0.0572
-0.3173   -0.1091
-0.4581   -0.1906
-0.5393   -0.2805
-0.6023   -0.3685
-0.6798   -0.4596
-0.7601   -0.5506
-0.8434   -0.6410
-0.9294   -0.7308
-1.0183   -0.8202
-1.1090   -0.9086
-1.1980   -0.9932
-1.2793   -1.0699
-1.3638   -1.1457
-1.4402   -1.2141
-1.5334   -1.2925
-1.6419   -1.3807
-1.7682   -1.4807
-1.9207   -1.5984
-2.1127   -1.7423
-2.3385   -1.9084
-2.6402   -2.1229
-3.0176   -2.3877
-3.5246   -2.7655
-4.2088   -3.4886
-5.1033   -4.7916
-6.3139   -5.0810
-7.8979   -5.2090
-9.3343   -5.5964
-9.7453   -5.9964
-9.9212   -6.3769
-11.6515   -6.8125
-10.4532   -6.0323
-7.7693   -4.3635
-5.0623   -2.5409
-2.2044   -0.7306
-0.5592    0.3021
 0.5727    0.8778
 0.9214    0.9977
 0.9992    0.9754
 0.9768    0.9073
 0.9187    0.8301
 0.8500    0.7527
 0.7813    0.6827
 0.7169    0.6186
 0.6580    0.5620
 0.6047    0.5110
 0.5572    0.4658
 0.5149    0.4255
 0.4758    0.3879
 0.4447    0.3580
 0.4195    0.3340
 0.4025    0.3177
 0.3921    0.3078
 0.3864    0.3023
 0.3847    0.3001
 0.3863    0.3005
 0.3908    0.3028
 0.3966    0.3053
 0.4031    0.3062
 0.3921    0.2914
 0.3517    0.2478
 0.3319    0.2150
 0.3167    0.1857
 0.3052    0.1587
 0.3005    0.1347
 0.2857    0.0994
 0.2620    0.0516
 0.2305   -0.0079
 0.2214   -0.0446
 0.0361   -0.1236
 0.5825    0.0059


Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  8.000       0.017     1.228    -0.090     0.010     1.000    0.0000  -5.7242
 Cpi          Cpv
-----------------
 0.5791    0.0564
-0.0578    0.0614
 0.1091    0.0615
 0.0652    0.0591
 0.0551    0.0536
 0.0305    0.0449
-0.0121    0.0312
-0.0774    0.0088
-0.1657   -0.0271
-0.2284   -0.0761
-0.3099   -0.1435
-0.4474   -0.2414
-0.5252   -0.3337
-0.5846   -0.4151
-0.6579   -0.4985
-0.7334   -0.5811
-0.8114   -0.6632
-0.8912   -0.7449
-0.9731   -0.8264
-1.0559   -0.9066
-1.1360   -0.9829
-1.2074   -1.0505
-1.2807   -1.1169
-1.3448   -1.1749
-1.4233   -1.2421
-1.5143   -1.3178
-1.6197   -1.4033
-1.7464   -1.5036
-1.9060   -1.6262
-2.0915   -1.7650
-2.3399   -1.9439
-2.6476   -2.1578
-3.0595   -2.4490
-3.6112   -3.0357
-4.3233   -4.2060
-5.2768   -4.3118
-6.5039   -4.5515
-7.5566   -5.0620
-7.7404   -5.2035
-7.7499   -5.4046
-9.0226   -5.7242
-7.9670   -4.9577
-5.7424   -3.4590
-3.5269   -1.8451
-1.2657   -0.3158
 0.0051    0.5359
 0.7829    0.9444
 0.9817    0.9982
 0.9922    0.9468
 0.9388    0.8679
 0.8669    0.7856
 0.7928    0.7093
 0.7231    0.6396
 0.6600    0.5789
 0.6034    0.5247
 0.5529    0.4769
 0.5084    0.4347
 0.4692    0.3974
 0.4330    0.3628
 0.4050    0.3359
