xflr5 v6.43

NACA 63A-609
Reynolds =  500000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 25.000       0.373     1.118    -0.168     0.005     1.000    0.0000  -2.2328
 Cpi          Cpv
-0.0730   -0.3965
-0.1724   -0.4016
-0.2482   -0.4077
-0.3456   -0.4150
-0.5044   -0.4235
-0.6050   -0.4336
-0.6892   -0.4456
-0.7916   -0.4597
-0.9004   -0.4761
-1.0165   -0.4953
-1.1400   -0.5178
-1.2721   -0.5441
-1.4123   -0.5749
-1.5576   -0.6112
-1.7018   -0.6539
-1.8589   -0.7044
-2.0166   -0.7638
-2.2074   -0.8338
-2.4333   -0.9163
-2.7024   -1.0138
-3.0325   -1.1294
-3.4516   -1.2674
-3.9641   -1.4337
-4.6518   -1.6385
-5.5417   -1.8992
-6.7625   -2.2649
-8.4598   -2.8327
-10.7820   -2.8470
-14.0496   -2.8551
-18.5621   -2.8661
-23.2874   -2.9347
-25.8652   -3.1830
-27.7316   -3.5716
-33.5303   -3.8879
-31.4562   -3.5697
-25.2831   -2.6253
-18.8037   -1.4520
-11.1444   -0.2262
-6.5369    0.5099
-2.1467    0.9205
-0.3172    0.9997
 0.4766    0.9721
 0.8247    0.9081
 0.9627    0.8365
 0.9995    0.7630
 0.9869    0.6949
 0.9503    0.6304
 0.9028    0.5714
 0.8514    0.5162
 0.7998    0.4652
 0.7500    0.4178
 0.7021    0.3718
 0.6595    0.3323
 0.6219    0.2980
 0.5911    0.2708
 0.5666    0.2498
 0.5474    0.2330
 0.5327    0.2195
 0.5220    0.2085
 0.5150    0.1998
 0.5103    0.1912
 0.5073    0.1809
 0.4906    0.1508
 0.4493    0.0844
 0.4252    0.0296
 0.4052   -0.0222
 0.3887   -0.0723
 0.3785   -0.1192
 0.3594   -0.1822
 0.3324   -0.2645
 0.2981   -0.3683
 0.2840   -0.4493
 0.1060   -0.6435
 0.6080   -0.3802


Reynolds =  500000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 14.000       0.119     1.053    -0.058     0.012     1.000    0.0000  -5.6515
 Cpi          Cpv
-----------------
 0.6032   -0.3078
-0.0095   -0.3084
 0.1430   -0.3096
 0.0944   -0.3112
 0.0779   -0.3134
 0.0470   -0.3162
-0.0025   -0.3197
-0.0756   -0.3239
-0.1735   -0.3289
-0.2476   -0.3349
-0.3429   -0.3420
-0.4989   -0.3502
-0.5964   -0.3601
-0.6771   -0.3717
-0.7754   -0.3852
-0.8795   -0.4011
-0.9901   -0.4195
-1.1074   -0.4409
-1.2321   -0.4659
-1.3639   -0.4947
-1.4996   -0.5264
-1.6328   -0.5664
-1.7772   -0.6465
-1.9206   -0.7513
-2.0941   -0.8755
-2.2991   -1.0167
-2.5425   -1.1765
-2.8404   -1.3621
-3.2181   -1.5867
-3.6777   -1.8753
-4.2936   -2.2267
-5.0873   -2.6267
-6.1728   -3.1148
-7.6763   -3.8130
-9.7223   -4.2258
-12.5878   -4.2417
-16.5214   -4.2606
-20.5842   -4.3583
-22.7074   -4.6959
-24.2113   -5.2135
-29.1784   -5.6515
-27.2517   -5.2398
-21.7440   -3.9852
-15.9877   -2.4323
-9.2692   -0.7864
-5.2378    0.2148
-1.5224    0.8321
-0.0076    0.9882
 0.6305    0.9900
 0.8952    0.9364
 0.9871    0.8668
 0.9978    0.7926
 0.9699    0.7225
 0.9245    0.6558
 0.8722    0.5950
 0.8182    0.5383
 0.7656    0.4864
 0.7158    0.4384
 0.6682    0.3924
 0.6268    0.3532
 0.5905    0.3193
 0.5615    0.2928
 0.5389    0.2725
 0.5215    0.2567
 0.5086    0.2442
 0.4997    0.2344
 0.4945    0.2268
 0.4914    0.2195
 0.4898    0.2106
 0.4739    0.1827
 0.4327    0.1203
 0.4092    0.0689
 0.3900    0.0206
 0.3742   -0.0259
 0.3648   -0.0695
 0.3464   -0.1283
 0.3199   -0.2051
 0.2859   -0.3017
 0.2726   -0.3762
 0.0932   -0.5497
 0.6032   -0.3078


Reynolds =  500000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 10.000       0.035     1.303    -0.067     0.012     1.000    0.0000  -7.1851
 Cpi          Cpv
-----------------
 0.5862   -0.0069
-0.0441   -0.0046
 0.1183   -0.0043
 0.0727   -0.0036
 0.0604   -0.0030
 0.0337   -0.0039
-0.0114   -0.0091
-0.0794   -0.0186
-0.1712   -0.0353
-0.2378   -0.0614
-0.3241   -0.1017
-0.4680   -0.1645
-0.5525   -0.2398
-0.6191   -0.3219
-0.7008   -0.4121
-0.7858   -0.5065
-0.8746   -0.6028
-0.9668   -0.6997
-1.0628   -0.7967
-1.1615   -0.8929
-1.2596   -0.9859
-1.3509   -1.0721
-1.4468   -1.1576
-1.5360   -1.2374
-1.6444   -1.3272
-1.7710   -1.4280
-1.9191   -1.5426
-2.0985   -1.6774
-2.3246   -1.8419
-2.5928   -2.0409
-2.9512   -2.3150
-3.4028   -2.7358
-4.0121   -3.4722
-4.8394   -4.4871
-5.9326   -5.1968
-7.4254   -5.2352
-9.4047   -5.3094
-11.2727   -5.5883
-11.9499   -6.1689
-12.3257   -6.7256
-14.5777   -7.1851
-13.2354   -6.5067
-10.0563   -4.8760
-6.8175   -2.9830
-3.3032   -1.0421
-1.2486    0.1105
 0.2924    0.8099
 0.8191    0.9859
 0.9793    0.9903
 0.9967    0.9346
 0.9578    0.8627
 0.8980    0.7870
 0.8327    0.7168
 0.7688    0.6513
 0.7088    0.5929
 0.6536    0.5396
